id,source_project_url,last_update_source,forks,url_fork,last_update_fork,commits_behind
26,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/pguanhai/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
27,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/PiseyYou/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
28,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/robertdigital/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
29,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/ruabliuqiu/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
30,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/seccouser/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
31,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/silenc3502/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
32,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/snapbuy/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
33,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/spatial-intelligence/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
34,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/stevengit/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
35,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/SunWei-1751206/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
